Sample,Gate,X Parameter,X Median
18,cells,FSC-A,711577
18,All Events,PHO5pr-mCherry-A,21651
18,singlets,PHO5pr-mCherry-A,13482
18,All Events,FSC-A,1048575
18,All Events,FSC-A,1048575
18,All Events,chimera-GFP-A,2292
18,singlets,chimera-GFP-A,1389
18,All Events,chimera-GFP-H,1911
19,cells,FSC-A,703647
19,All Events,FSC-A,1032502
19,singlets,FSC-A,700682
19,All Events,FSC-A,1032502
19,cells,FSC-A,703647
19,All Events,PHO5pr-mCherry-A,16519
19,singlets,PHO5pr-mCherry-A,10847
19,All Events,FSC-A,1032502
19,All Events,FSC-A,1032502
19,All Events,chimera-GFP-A,2037
19,singlets,chimera-GFP-A,1343
19,All Events,chimera-GFP-H,1722
20,cells,FSC-A,712999
20,All Events,FSC-A,1048575
20,singlets,FSC-A,709717
20,All Events,FSC-A,1048575
20,cells,FSC-A,712999
20,All Events,PHO5pr-mCherry-A,17027
20,singlets,PHO5pr-mCherry-A,10400
20,All Events,FSC-A,1048575
20,All Events,FSC-A,1048575
20,All Events,chimera-GFP-A,2192
20,singlets,chimera-GFP-A,1353
20,All Events,chimera-GFP-H,1827
21,cells,FSC-A,745097
21,All Events,FSC-A,1048575
21,singlets,FSC-A,742071
21,All Events,FSC-A,1048575
21,cells,FSC-A,745097
21,All Events,PHO5pr-mCherry-A,20007
21,singlets,PHO5pr-mCherry-A,12245
21,All Events,FSC-A,1048575
21,All Events,FSC-A,1048575
21,All Events,chimera-GFP-A,2299
21,singlets,chimera-GFP-A,1400
21,All Events,chimera-GFP-H,1910
22,cells,FSC-A,619425
22,All Events,FSC-A,853418
22,singlets,FSC-A,616865
22,All Events,FSC-A,853418
22,cells,FSC-A,619425
22,All Events,PHO5pr-mCherry-A,6388
22,singlets,PHO5pr-mCherry-A,4025
22,All Events,FSC-A,853418
22,All Events,FSC-A,853418
22,All Events,chimera-GFP-A,2430
22,singlets,chimera-GFP-A,1610
22,All Events,chimera-GFP-H,2115
23,cells,FSC-A,649151
23,All Events,FSC-A,877260
23,singlets,FSC-A,646245
23,All Events,FSC-A,877260
23,cells,FSC-A,649151
23,All Events,PHO5pr-mCherry-A,6113
23,singlets,PHO5pr-mCherry-A,3998
23,All Events,FSC-A,877260
23,All Events,FSC-A,877260
23,All Events,chimera-GFP-A,2428
23,singlets,chimera-GFP-A,1672
23,All Events,chimera-GFP-H,2158
24,cells,FSC-A,608337
24,All Events,FSC-A,848347
24,singlets,FSC-A,606495
24,All Events,FSC-A,848347
24,cells,FSC-A,608337
24,All Events,PHO5pr-mCherry-A,6850
24,singlets,PHO5pr-mCherry-A,4279
24,All Events,FSC-A,848347
24,All Events,FSC-A,848347
24,All Events,chimera-GFP-A,2537
24,singlets,chimera-GFP-A,1672
24,All Events,chimera-GFP-H,2235
25,cells,FSC-A,624356
25,All Events,FSC-A,844357
25,singlets,FSC-A,622047
25,All Events,FSC-A,844357
25,cells,FSC-A,624356
25,All Events,PHO5pr-mCherry-A,25321
25,singlets,PHO5pr-mCherry-A,19638
25,All Events,FSC-A,844357
25,All Events,FSC-A,844357
25,All Events,chimera-GFP-A,1854
25,singlets,chimera-GFP-A,1410
25,All Events,chimera-GFP-H,1659
26,cells,FSC-A,655995
26,All Events,FSC-A,915629
26,singlets,FSC-A,654112
26,All Events,FSC-A,915629
26,cells,FSC-A,655995
26,All Events,PHO5pr-mCherry-A,28863
26,singlets,PHO5pr-mCherry-A,21855
26,All Events,FSC-A,915629
26,All Events,FSC-A,915629
26,All Events,chimera-GFP-A,1973
26,singlets,chimera-GFP-A,1447
26,All Events,chimera-GFP-H,1732
27,cells,FSC-A,653067
27,All Events,FSC-A,941463
27,singlets,FSC-A,650258
27,All Events,FSC-A,941463
27,cells,FSC-A,653067
27,All Events,PHO5pr-mCherry-A,27322
27,singlets,PHO5pr-mCherry-A,19714
27,All Events,FSC-A,941463
27,All Events,FSC-A,941463
27,All Events,chimera-GFP-A,1903
27,singlets,chimera-GFP-A,1349
27,All Events,chimera-GFP-H,1650
28,cells,FSC-A,645861
28,All Events,FSC-A,846050
28,singlets,FSC-A,643261
28,All Events,FSC-A,846050
28,cells,FSC-A,645861
28,All Events,PHO5pr-mCherry-A,2497
28,singlets,PHO5pr-mCherry-A,1812
28,All Events,FSC-A,846050
28,All Events,FSC-A,846050
28,All Events,chimera-GFP-A,2202
28,singlets,chimera-GFP-A,1606
28,All Events,chimera-GFP-H,1930
29,cells,FSC-A,628513
29,All Events,FSC-A,917478
29,singlets,FSC-A,626129
29,All Events,FSC-A,917478
29,cells,FSC-A,628513
29,All Events,PHO5pr-mCherry-A,5010
29,singlets,PHO5pr-mCherry-A,3270
29,All Events,FSC-A,917478
29,All Events,FSC-A,917478
29,All Events,chimera-GFP-A,3829
29,singlets,chimera-GFP-A,2390
29,All Events,chimera-GFP-H,3371
30,cells,FSC-A,631151
30,All Events,FSC-A,892488
30,singlets,FSC-A,628634
30,All Events,FSC-A,892488
30,cells,FSC-A,631151
30,All Events,PHO5pr-mCherry-A,3102
30,singlets,PHO5pr-mCherry-A,2045
30,All Events,FSC-A,892488
30,All Events,FSC-A,892488
30,All Events,chimera-GFP-A,2316
30,singlets,chimera-GFP-A,1555
30,All Events,chimera-GFP-H,2030
31,cells,FSC-A,833222
31,All Events,FSC-A,1048575
31,singlets,FSC-A,819941
31,All Events,FSC-A,1048575
31,cells,FSC-A,833222
31,All Events,PHO5pr-mCherry-A,75219
31,singlets,PHO5pr-mCherry-A,10800
31,All Events,FSC-A,1048575
31,All Events,FSC-A,1048575
31,All Events,chimera-GFP-A,4219
31,singlets,chimera-GFP-A,2656
31,All Events,chimera-GFP-H,3400
32,cells,FSC-A,881263
32,All Events,FSC-A,1048575
32,singlets,FSC-A,870730
32,All Events,FSC-A,1048575
32,cells,FSC-A,881263
32,All Events,PHO5pr-mCherry-A,106430
32,singlets,PHO5pr-mCherry-A,66058
32,All Events,FSC-A,1048575
32,All Events,FSC-A,1048575
32,All Events,chimera-GFP-A,4770
32,singlets,chimera-GFP-A,2764
32,All Events,chimera-GFP-H,3670
33,cells,FSC-A,772398
33,All Events,FSC-A,68410
33,singlets,FSC-A,772398
33,All Events,FSC-A,68410
33,cells,FSC-A,772398
33,All Events,PHO5pr-mCherry-A,162
33,singlets,PHO5pr-mCherry-A,25674
33,All Events,FSC-A,68410
33,All Events,FSC-A,68410
33,All Events,chimera-GFP-A,358
33,singlets,chimera-GFP-A,4237
33,All Events,chimera-GFP-H,336
34,cells,FSC-A,608015
34,All Events,FSC-A,903078
34,singlets,FSC-A,604829
34,All Events,FSC-A,903078
34,cells,FSC-A,608015
34,All Events,PHO5pr-mCherry-A,14574
34,singlets,PHO5pr-mCherry-A,9823
34,All Events,FSC-A,903078
34,All Events,FSC-A,903078
34,All Events,chimera-GFP-A,5092
34,singlets,chimera-GFP-A,3460
34,All Events,chimera-GFP-H,4353
35,cells,FSC-A,618911
35,All Events,FSC-A,927444
